X,Y
Ba0.6Sb0.4F2.4,-7.28569889
Zn0.45Ba0.3Y0.25F2.25,-7.287800654
Ag3GaF6,-7.341438042
Sc0.4Ba0.4Yb0.2F2.6,-7.410692176
Ba0.5Ca0.5F2,-7.413213811
Zr0.45Bi0.35Pb0.2F3.25,-7.4571611
Ba0.95Sc0.05F2.05,-7.478767711
La0.97Ba0.03F2.97,-7.484725952
La0.95Ba0.05F2.95,-7.511994719
Ba0.6La0.4F2.4,-7.533035305
Ce0.975Th0.025F3.025,-7.556703524
In0.4Ba0.4Yb0.2F2.6,-7.595029458
Ba0.5Pb0.5F2,-7.599217553
Sr0.530La0.470F2.470,-7.655511715
PbF2,-7.673689114
Zr0.55Al0.04Ba0.36La0.05F3.19,-7.680692176
Ba0.9Sb0.1F2.1,-7.739063093
Sr0.679La0.321F2.321,-7.747383179
Zr0.55Al0.04Ba0.335La0.075F3.215,-7.750692176
Zr0.55Al0.04Ba0.385La0.025F3.165,-7.770692176
La0.9Ba0.1F2.9,-7.796450729
Sr0.5Pb0.5F2,-7.854851856
Zr0.55Al0.04Ba0.37Y0.04F3.18,-7.862137936
Sr0.5Nd0.5F2.5,-7.868104023
Ba0.3Ca0.7F2,-7.883793813
Zr0.45Bi0.35Ba0.2F3.25,-7.8945406
CsSn2F5,-7.924257699
Zr0.55Al0.04Ba0.36Y0.05F3.19,-7.962137936
Zr0.45Bi0.35Sr0.2F3.25,-8.0458083
Zr0.55Al0.04Ba0.315La0.095F3.235,-8.083583697
Zr0.55Al0.04Ba0.34Y0.09F3.21,-8.083583697
Zr0.55Al0.04Ba0.32Y0.07F3.23,-8.083583697
Ba0.9La0.1F2.1,-8.090962876
Zr0.5Bi0.4Ba0.1F3.4,-8.0954333
Zr0.5Bi0.4Ba0.1F3.4,-8.1016095
Ce0.95Th0.05F3.05,-8.113341597
Ba0.75Pb0.25F2,-8.154037636
Cd0.8Er0.2F2.2,-8.168875199
Ag3InF6,-8.197602683
Ba0.9Sn0.1F2,-8.201371804
Zr0.5Bi0.2Ba0.3F3.2,-8.2284474
Sr0.796La0.204F2.204,-8.296489772
Ba0.8Ca0.2F2,-8.327015957
Ba0.4La0.6F2.6,-8.413325863
K3InF6,-8.441438647
BaF2,-8.509060699
Ba0.97Sc0.03F2.03,-8.518319232
Zr0.6Ba0.3Al0.1F3.3,-8.533583697
La0.85Ba0.15F2.85,-8.769098547
Zr0.45La0.03Na0.45Y0.02Al0.05F2.55,-8.843630669
Ba0.2Ca0.8F2,-8.847009988
Hf0.55Ba0.3Cs0.15F2.95,-8.863879137
Ba0.15La0.85F2.85,-9.002548362
Zr0.5La0.03Na0.4Y0.02Al0.05F2.7,-9.011663381
LaF3,-9.103930801
Cd0.9Er0.1F2.1,-9.129870536
RbSbF4,-9.164902736
Zr0.59Ba0.26Hf0.15F3.48,-9.171107941
